SupplierId,HotelName,Address1,Address2,CityName,StateCode,CountryCode,ZipCode,Latitude,Longitude
40552,The Queens Gate Hotel,31-34 Queen's Gate,,London,,GB,SW7 5JA LONDRES,51.4982654,-0.1798931
898224,AC Hotel Barcelona Forum,"Paseo Taulat, 278",,Barcelona,,ES,08019 Barcelona,41.41006,2.219028
953027,AC Hotel Irla,"Carrer de Calvet, 40-42",,Barcelona,,ES,08021 BARCELONA,41.39485,2.143524
97501,Ac Hotel Badajoz,"Av. de Elvas, Urbanizacion Jardines del Guadiana",,Badajoz,,ES,06006 BADAJOZ,38.8794495,-6.9706535
953133,AC Hotel Genova,"Corso Europa, 1075",,Genoa,,IT,16148 GENOVA,44.393792,8.999913
96431,AC Alcala De Henares,Octacio Paz 25,,Alcala de Henares,,ES,28805 Alcalá de Henares,40.5028175,-3.365767
953066,AC Hotel Gijón,"Avenida de Oviedo, 15",,Gijon,,ES,33211 GIJON,43.522202,-5.68238
643007,Eastwest Hotel,"6, Rue de Pâquis",,Geneva,,CH,1201 GENEBRA,46.2097834,6.1482552
584361,Grand Hotel Parker's,"Corso Vittorio Emanuele, 135",,Naples,,IT,80121 NÁPOLES,40.837558,14.22991
88775,Hotel Infante de Sagres – Small Luxury Hotels of the World,"Praça Dona Filipa de Lencastre, 62",,Oporto,,PT,4050-259 PORTO,41.14795,-8.612914
89143,Hotel Empire Palace Roma,"Via Aureliana, 39",,Rome,,IT,00187 ROMA,41.9067244,12.4955765
898206,AC Hotel Sevilla Forum,"Luis Fuentes Bejarano, 15",,Seville,,ES,41020 SEVILHA,37.4080653,-5.9457509
99089,AC Hotel General Álava,"Avenida Gasteiz, 79",,Vitoria-Gasteiz,,ES,01009 Vitoria,42.8508144,-2.6812071
99993,Hotel AC La Linea,"Calle Los Caireles, 2",,La Linea de la Concepcion,,ES,11300 La Línea de la Concepción,36.165779,-5.361006
89896,Hotel Abba Madrid,"Avenida de America, 32",,Madrid,,ES,28028 MADRID,40.438834,-3.672723
621972,Hotel Abba Rambla Barcelona,"Rambla del Raval, 4-C",,Barcelona,,ES,08001 BARCELONA,41.3790498,2.1684648
87576,Hotel Abba Reino de Navarra,"Calle Acella, 1",,Pamplona,,ES,31008 PAMPLONA,42.8085953,-1.6607336
95367,Hotel Abba Santander,"Calle Calderon de La Barca, 3",,Santander,,ES,39002 SANTANDER,43.4594725,-3.8079913
87578,Hotel Abba Sants,"Numancia, 32",,Barcelona,,ES,08029 BARCELONA,41.3825742,2.1400555
87573,Hotel Abba Fonseca,"Plaza de San Blas, 2",,Salamanca,,ES,37007 SALAMANCA,40.9646897,-5.6701028
